pair,stake_amount,max_stake_amount,amount,open_date,close_date,open_rate,close_rate,fee_open,fee_close,trade_duration,profit_ratio,profit_abs,exit_reason,initial_stop_loss_abs,initial_stop_loss_ratio,stop_loss_abs,stop_loss_ratio,min_rate,max_rate,is_open,enter_tag,leverage,is_short,open_timestamp,close_timestamp,orders,funding_fees
XRP/USDT,5.52052,5.52052,7.9,2022-01-21 02:00:00+00:00,2022-01-21 02:05:00+00:00,0.6988,0.7056,0.001,0.001,5,0.007713522882383788,0.04262524,take_profit_1.5R,0.6639,-0.05,0.6639,-0.05,0.697,0.7082,False,hammer_rebond,1.0,False,1642730400000,1642730700000,"[{'amount': 7.9, 'safe_price': 0.6988, 'ft_order_side': 'buy', 'order_filled_timestamp': 1642730400000, 'ft_is_entry': True, 'ft_order_tag': 'hammer_rebond', 'cost': 5.52604052}, {'amount': 7.9, 'safe_price': 0.7056, 'ft_order_side': 'sell', 'order_filled_timestamp': 1642730700000, 'ft_is_entry': False, 'ft_order_tag': 'take_profit_1.5R', 'cost': 5.57981424}]",0.0
LTC/USDT,494.9808,494.9808,4.084,2022-02-05 17:00:00+00:00,2022-02-05 17:05:00+00:00,121.2,120.06202933309595,0.001,0.001,5,-0.011368439282552316,-5.63278633,stop_loss,115.14,-0.05,120.06202933309595,-0.009389196921650633,119.9,121.7,False,hammer_rebond,1.0,False,1644080400000,1644080700000,"[{'amount': 4.084, 'safe_price': 121.2, 'ft_order_side': 'buy', 'order_filled_timestamp': 1644080400000, 'ft_is_entry': True, 'ft_order_tag': 'hammer_rebond', 'cost': 495.47578079999994}, {'amount': 4.084, 'safe_price': 120.06202933309595, 'ft_order_side': 'sell', 'order_filled_timestamp': 1644080700000, 'ft_is_entry': False, 'ft_order_tag': 'stop_loss', 'cost': 490.8236611241601}]",0.0
BTC/USDT,491.869902,491.869902,0.0118,2022-02-05 19:00:00+00:00,2022-02-07 15:35:00+00:00,41683.89,43546.83,0.001,0.001,2675,0.04260478919589084,20.9769695,take_profit_1.5R,39599.695499999994,-0.05,40554.887102439556,-0.027084873738042248,41116.56,43777.0,False,hammer_rebond,1.0,False,1644087600000,1644248100000,"[{'amount': 0.0118, 'safe_price': 41683.89, 'ft_order_side': 'buy', 'order_filled_timestamp': 1644087600000, 'ft_is_entry': True, 'ft_order_tag': 'hammer_rebond', 'cost': 492.36177190199993}, {'amount': 0.0118, 'safe_price': 43546.83, 'ft_order_side': 'sell', 'order_filled_timestamp': 1644248100000, 'ft_is_entry': False, 'ft_order_tag': 'take_profit_1.5R', 'cost': 514.3664465939999}]",0.0
XRP/USDT,502.6081,502.6081,641.0,2022-02-07 19:00:00+00:00,2022-02-07 22:25:00+00:00,0.7841,0.8313,0.001,0.001,205,0.05807812898745178,29.2197286,take_profit_1.5R,0.7449,-0.05,0.755,-0.03716515311260005,0.7801,0.8349,False,hammer_rebond,1.0,False,1644260400000,1644272700000,"[{'amount': 641.0, 'safe_price': 0.7841, 'ft_order_side': 'buy', 'order_filled_timestamp': 1644260400000, 'ft_is_entry': True, 'ft_order_tag': 'hammer_rebond', 'cost': 503.11070809999995}, {'amount': 641.0, 'safe_price': 0.8313, 'ft_order_side': 'sell', 'order_filled_timestamp': 1644272700000, 'ft_is_entry': False, 'ft_order_tag': 'take_profit_1.5R', 'cost': 533.3961632999999}]",0.0
XRP/USDT,517.07,517.07,580.0,2022-02-09 20:00:00+00:00,2022-02-09 23:55:00+00:00,0.8915,0.8605,0.001,0.001,235,-0.03670138050396042,-18.99616,stop_loss,0.847,-0.05,0.8605,-0.03487513591448832,0.8605,0.9041,False,hammer_rebond,1.0,False,1644436800000,1644450900000,"[{'amount': 580.0, 'safe_price': 0.8915, 'ft_order_side': 'buy', 'order_filled_timestamp': 1644436800000, 'ft_is_entry': True, 'ft_order_tag': 'hammer_rebond', 'cost': 517.5870699999999}, {'amount': 580.0, 'safe_price': 0.8605, 'ft_order_side': 'sell', 'order_filled_timestamp': 1644450900000, 'ft_is_entry': False, 'ft_order_tag': 'stop_loss', 'cost': 499.58909}]",0.0
BNB/USDT,507.5508,507.5508,1.182,2022-02-15 20:00:00+00:00,2022-02-17 13:20:00+00:00,429.4,419.5365556139505,0.001,0.001,2480,-0.02492240162977752,-12.66203427,stop_loss,407.92999999999995,-0.05,419.5365556139505,-0.022970294331740804,418.5,434.0,False,hammer_rebond,1.0,False,1644955200000,1645104000000,"[{'amount': 1.182, 'safe_price': 429.4, 'ft_order_side': 'buy', 'order_filled_timestamp': 1644955200000, 'ft_is_entry': True, 'ft_order_tag': 'hammer_rebond', 'cost': 508.05835079999986}, {'amount': 1.182, 'safe_price': 419.5365556139505, 'ft_order_side': 'sell', 'order_filled_timestamp': 1645104000000, 'ft_is_entry': False, 'ft_order_tag': 'stop_loss', 'cost': 496.3881009444251}]",0.0
ETH/USDT,501.361916,501.361916,0.1727,2022-03-01 12:00:00+00:00,2022-03-01 13:55:00+00:00,2903.08,3026.59,0.001,0.001,115,0.04046146407507975,20.30612299,take_profit_1.5R,2757.926,-0.05,2827.414527570365,-0.026063860599651045,2899.39,3033.33,False,hammer_rebond,1.0,False,1646136000000,1646142900000,"[{'amount': 0.1727, 'safe_price': 2903.08, 'ft_order_side': 'buy', 'order_filled_timestamp': 1646136000000, 'ft_is_entry': True, 'ft_order_tag': 'hammer_rebond', 'cost': 501.8632779159999}, {'amount': 0.1727, 'safe_price': 3026.59, 'ft_order_side': 'sell', 'order_filled_timestamp': 1646142900000, 'ft_is_entry': False, 'ft_order_tag': 'take_profit_1.5R', 'cost': 523.2147850929999}]",0.0
LTC/USDT,501.304,501.304,4.496,2022-03-01 12:00:00+00:00,2022-03-03 17:25:00+00:00,111.5,108.29654139400274,0.001,0.001,3205,-0.030671168712875944,-15.39095514,stop_loss,105.925,-0.05,108.29654139400274,-0.028730570457374482,107.9,115.9,False,hammer_rebond,1.0,False,1646136000000,1646328300000,"[{'amount': 4.496, 'safe_price': 111.5, 'ft_order_side': 'buy', 'order_filled_timestamp': 1646136000000, 'ft_is_entry': True, 'ft_order_tag': 'hammer_rebond', 'cost': 501.805304}, {'amount': 4.496, 'safe_price': 108.29654139400274, 'ft_order_side': 'sell', 'order_filled_timestamp': 1646328300000, 'ft_is_entry': False, 'ft_order_tag': 'stop_loss', 'cost': 487.3881513575438}]",0.0
XRP/USDT,503.78123,503.78123,703.9,2022-04-12 14:00:00+00:00,2022-04-12 19:05:00+00:00,0.7157,0.695,0.001,0.001,305,-0.03086294730838534,-15.56372173,stop_loss,0.68,-0.05,0.695,-0.029025279050894914,0.6942,0.716,False,hammer_rebond,1.0,False,1649772000000,1649790300000,"[{'amount': 703.9, 'safe_price': 0.7157, 'ft_order_side': 'buy', 'order_filled_timestamp': 1649772000000, 'ft_is_entry': True, 'ft_order_tag': 'hammer_rebond', 'cost': 504.28501122999995}, {'amount': 703.9, 'safe_price': 0.695, 'ft_order_side': 'sell', 'order_filled_timestamp': 1649790300000, 'ft_is_entry': False, 'ft_order_tag': 'stop_loss', 'cost': 489.6997104999999}]",0.0
LTC/USDT,496.0661,496.0661,4.897,2022-04-28 16:00:00+00:00,2022-04-29 18:45:00+00:00,101.3,98.87797038317048,0.001,0.001,1605,-0.025859703832961833,-12.84095055,stop_loss,96.235,-0.05,98.87797038317048,-0.023909473019047556,98.5,105.8,False,hammer_rebond,1.0,False,1651161600000,1651257900000,"[{'amount': 4.897, 'safe_price': 101.3, 'ft_order_side': 'buy', 'order_filled_timestamp': 1651161600000, 'ft_is_entry': True, 'ft_order_tag': 'hammer_rebond', 'cost': 496.56216609999996}, {'amount': 4.897, 'safe_price': 98.87797038317048, 'ft_order_side': 'sell', 'order_filled_timestamp': 1651257900000, 'ft_is_entry': False, 'ft_order_tag': 'stop_loss', 'cost': 484.6896263873522}]",0.0
