,date,open,high,low,close,volume,open_count,high_count,low_count,close_count,max_count,date_1d,open_1d,high_1d,low_1d,close_1d,volume_1d,sma200_1d,ichimoku-tenkan_1d,ichimoku-kinjun_1d,ichimoku-spanA_1d,ichimoku-spanB_1d,ichimoku-chiku_1d,close_sup_sma200_1d,date_4h,open_4h,high_4h,low_4h,close_4h,volume_4h,sma200_4h,close_sup_sma200_4h,volume_sma,ichimoku-tenkan,ichimoku-kinjun,ichimoku-spanA,ichimoku-spanB,ichimoku-chiku,ichimoku-spanA-futur,ichimoku-spanB-futur,ichimoku-futur,sma200,atr,stoploss_prices,kinjun_threshold,engulfing,last_candle_under_cloud,custom_sell_signal,custom_exit_signal,adx_range,is_hammer,is_bullish_engulfing,is_strong_bullish_candle,rsi,atr_strength,adx,close_sup_sma200,ichimoku-chiku-free,kinjun_flat,ichimoku-tenkan_sup_kinjun,tenkan_kinjun_increasing,kinjun_proximity,tenkan_proximity,proximity,volume_sup_avg,ml_signal_strength_hammer,ml_signal_strength_engulfing,enter_tag,enter_long,pair,timestamp,entry_type
2342,2022-04-08 14:00:00+00:00,42906.66,43846.15,42888.8,43750.14,3948.19621,15.0,15.0,14.0,15.0,15.0,2022-04-07 00:00:00+00:00,43170.47,43900.99,42727.35,43444.19,37396.54156,,45213.785,42872.42,39867.835,39369.085,37728.95,False,2022-04-08 08:00:00+00:00,43763.53,43970.62,43260.76,43298.79,6336.35221,42683.03270000001,True,1385.4000795,43360.815,43360.815,43738.27,44963.675,43750.14,43360.815,43920.81,False,45454.7302,340.64834492563216,42495.183807537185,43317.454185,True,0,44602.106689851265,45556.69378036879,False,False,True,False,54.146413814434126,0.7786222968100952,20.540877161628117,False,False,True,True,False,0.01047385756010349,0.01047385756010349,False,True,0.047336394811151865,0.12418870951206394,engulfing_rebond,1.0,BTC/USDT,2022-04-08 15:00:00+00:00,engulfing_rebond
2510,2022-04-15 14:00:00+00:00,40039.87,40870.36,39900.0,40450.0,2711.56276,15.0,15.0,,,15.0,2022-04-14 00:00:00+00:00,41147.78,41500.0,39551.94,39942.38,36807.01401,,42353.57,43694.92,39919.32,40071.64,31017.1,False,2022-04-15 08:00:00+00:00,40239.43,40399.0,40036.06,40220.0,4311.55812,43088.65000000001,False,1070.605031,40385.18,40425.97,40862.197499999995,40407.97,40450.0,40405.575,40556.625,False,41592.30464999996,307.8902926749938,39666.2548536625,40385.544030000005,True,0,41172.40558534999,41841.28042209612,False,False,True,False,55.84475023835728,0.7611626518541257,21.043692202296608,False,False,True,False,False,0.00955079123642546,0.008550413790405234,False,True,0.05084685407267603,0.1257637088699399,engulfing_rebond,1.0,BTC/USDT,2022-04-15 15:00:00+00:00,engulfing_rebond
4266,2022-06-27 18:00:00+00:00,20726.77,20945.0,20510.0,20821.05,5342.83933,15.0,,,15.0,15.0,2022-06-26 00:00:00+00:00,21491.18,21888.0,20964.73,21038.07,53278.10464,,19755.0,24802.485,30948.5475,35055.15,22684.83,False,2022-06-27 12:00:00+00:00,21304.56,21343.83,20590.0,20754.73,20746.1707,25959.37419999999,False,2902.3874895,21001.21,21024.925,21469.934999999998,21336.379999999997,20821.05,21013.067499999997,21199.0,False,20814.823149999902,202.42438054471435,20367.767809727644,21003.900074999998,True,0,21603.84876108943,22161.669741394617,False,False,True,False,37.84733951920103,0.9722102417731785,25.229793005446925,True,False,False,False,False,0.014181025616024735,0.013067818473316476,False,True,0.0385645929954912,0.12294917027014106,engulfing_rebond,1.0,BTC/USDT,2022-06-27 19:00:00+00:00,engulfing_rebond
5952,2022-09-06 00:00:00+00:00,19795.34,20174.58,19776.67,20101.01,18887.74022,15.0,15.0,15.0,15.0,15.0,2022-09-05 00:00:00+00:00,20000.3,20057.27,19633.83,19796.84,222543.01057,30727.265899999984,20048.125,22365.66,22947.9025,21647.0,19310.95,False,2022-09-05 20:00:00+00:00,19708.64,19870.8,19697.1,19796.84,30604.56337,22018.67730000001,False,9926.840229500001,19922.36,19904.205,19786.545,19819.515,20101.01,19913.2825,19878.84,True,19974.257049999887,128.74220324031512,19566.428618379843,19884.300795000003,True,1,20170.766906480632,20368.169940524775,True,False,True,False,68.85266885063145,0.6404762906954184,14.020877474528467,True,True,False,True,True,0.005469447285134051,0.006375750664077973,False,True,0.08249999867373731,0.11634701422123421,engulfing_rebond,1.0,BTC/USDT,2022-09-06 01:00:00+00:00,engulfing_rebond
7960,2022-11-28 16:00:00+00:00,16146.26,16399.69,15995.27,16311.56,26270.82545,15.0,14.0,15.0,15.0,15.0,2022-11-27 00:00:00+00:00,16457.61,16600.0,16401.0,16428.78,162025.47607,21846.0224,16149.205,18478.325,19879.25,20462.489999999998,16778.5,False,2022-11-28 12:00:00+00:00,16213.29,16310.43,16120.38,16146.26,47211.77393,18253.050150000006,False,11224.397774000001,16197.48,16296.315,16543.385000000002,16543.495000000003,16311.56,16246.8975,16337.92,False,16377.055749999876,105.0606465073497,15910.749136746324,16280.018685000001,True,0,16548.0412930147,16776.40001965496,False,False,True,False,50.66708652356324,0.6440870554830421,32.32269317868086,False,False,False,False,False,0.00920790988637617,0.0031622202959966208,False,True,0.07663339433408396,0.1289010997357519,engulfing_rebond,1.0,BTC/USDT,2022-11-28 17:00:00+00:00,engulfing_rebond
8313,2022-12-13 09:00:00+00:00,17160.14,17500.0,17155.5,17427.82,14334.83903,15.0,,1.0,15.0,15.0,2022-12-12 00:00:00+00:00,17085.05,17241.89,16871.85,17209.83,226227.49694,20891.091949999998,17051.54,16450.125,18339.3825,18534.325,16943.57,False,2022-12-13 04:00:00+00:00,17152.37,17208.47,17080.14,17165.17,41652.08355,16761.931450000007,True,8743.7491225,17290.07,17201.745000000003,17035.997499999998,17071.42,17427.82,17245.9075,17185.925,True,17065.968399999892,75.11987914884033,17008.41978042558,17184.543255000004,True,8,17396.147258297682,17388.046656955295,False,False,True,False,79.0656506436318,0.43103428397149113,29.391561193981037,True,True,False,True,True,0.0024186499683609536,0.007514717985525813,True,True,0.1659834152783991,0.12185303398403734,engulfing_rebond,1.0,BTC/USDT,2022-12-13 10:00:00+00:00,engulfing_rebond
11016,2023-04-05 00:00:00+00:00,28165.47,28733.0,28099.68,28661.81,6158.2642,15.0,,15.0,14.0,15.0,2023-04-04 00:00:00+00:00,27800.0,28444.44,27662.79,28165.47,49722.55691,20507.22425,27846.41,24366.885000000002,22333.86,22646.36,29233.21,True,2023-04-04 20:00:00+00:00,28189.25,28305.0,28078.63,28165.47,4817.66036,25479.941700000018,True,2368.6497015,28352.035,28197.895,27801.18,27888.620000000003,28661.81,28274.965,27966.620000000003,True,28030.900049999866,211.53876928939135,27908.789215355304,28169.697105,True,6,28698.042538578782,28985.425296173646,True,False,True,False,69.06414795496795,0.7380509789486126,12.846470571605442,True,True,False,True,True,0.0011499085304062333,0.006580303671323723,True,True,0.07953405541111282,0.1316966875010924,engulfing_rebond,1.0,BTC/USDT,2023-04-05 01:00:00+00:00,engulfing_rebond
12758,2023-06-16 14:00:00+00:00,25492.64,25725.0,25175.56,25616.01,5032.36177,15.0,,14.0,15.0,15.0,2023-06-15 00:00:00+00:00,25128.6,25759.01,24800.0,25598.49,48664.86063,23720.03489999997,26095.885000000002,26623.57,27330.627500000002,28405.73,30622.1,True,2023-06-16 08:00:00+00:00,25537.0,25624.38,25462.03,25474.51,5108.24521,26695.619299999988,False,1720.6723885,25450.28,25344.004999999997,25192.5875,25616.605,25616.01,25397.142499999998,25449.0,False,25888.304949999856,153.77557695571153,25048.321091522146,25318.660995,True,0,25756.551153911423,26065.699260530753,True,False,True,False,58.46471149398451,0.6003104189751313,18.710273565635184,False,False,False,True,False,0.005864700547526015,0.0016644217666760674,True,True,0.046314778523089455,0.10034818479537065,engulfing_rebond,1.0,BTC/USDT,2023-06-16 15:00:00+00:00,engulfing_rebond
22430,2024-07-23 14:00:00+00:00,66092.0,67349.03,65988.0,67227.8,2536.71832,,15.0,,14.0,15.0,2024-07-22 00:00:00+00:00,68165.35,68474.55,66559.97,67532.01,21451.04303,60120.654599999914,63834.28,60980.240000000005,63847.3125,65199.51,59491.99,True,2024-07-23 08:00:00+00:00,66576.0,67166.01,66454.0,66676.01,4791.70581,61589.840000000026,True,1214.153567,66655.515,67109.0,67297.915,67125.775,67227.8,66882.2575,67125.775,False,65606.43969999981,524.1589809022495,65567.99650954887,67041.891,True,0,68174.09296180449,69424.6964356275,False,False,True,False,52.30285677709102,0.7796759389750214,22.46471965612806,True,False,True,False,False,0.015154450222771908,0.008454139166129006,False,True,0.3841684388535753,0.12610724494229542,engulfing_rebond,1.0,BTC/USDT,2024-07-23 15:00:00+00:00,engulfing_rebond
24411,2024-10-14 03:00:00+00:00,62614.0,64392.49,62612.0,64299.99,3936.41882,,15.0,,15.0,15.0,2024-10-13 00:00:00+00:00,63206.23,63285.72,62050.0,62870.02,11909.21995,63386.24889999995,61712.095,62722.0,58365.49,59539.995,76509.78,False,2024-10-14 00:00:00+00:00,62870.02,64392.49,62457.81,64299.99,5202.69582,62025.98750000009,True,707.805672,63403.244999999995,63221.244999999995,63043.3075,61712.81,64299.99,63312.244999999995,63221.244999999995,True,62231.14484999987,392.4899993193112,62136.64938034034,63158.023754999995,True,1,64097.224998638616,64193.6038424886,True,False,True,False,74.23651081289226,0.6104044484599628,18.109621861184042,True,True,False,True,True,0.009605078166366313,0.012448022179306364,False,True,0.144918271082729,0.1269076886935557,engulfing_rebond,1.0,BTC/USDT,2024-10-14 04:00:00+00:00,engulfing_rebond
