pair,stake_amount,max_stake_amount,amount,open_date,close_date,open_rate,close_rate,fee_open,fee_close,trade_duration,profit_ratio,profit_abs,exit_reason,initial_stop_loss_abs,initial_stop_loss_ratio,stop_loss_abs,stop_loss_ratio,min_rate,max_rate,is_open,enter_tag_x,leverage,is_short,open_timestamp,close_timestamp,orders,funding_fees,date,open,high,low,close,volume,open_count,high_count,low_count,close_count,max_count,date_1d,open_1d,high_1d,low_1d,close_1d,volume_1d,sma200_1d,ichimoku-tenkan_1d,ichimoku-kinjun_1d,ichimoku-spanA_1d,ichimoku-spanB_1d,ichimoku-chiku_1d,close_sup_sma200_1d,date_4h,open_4h,high_4h,low_4h,close_4h,volume_4h,sma200_4h,close_sup_sma200_4h,volume_sma,ichimoku-tenkan,ichimoku-kinjun,ichimoku-spanA,ichimoku-spanB,ichimoku-chiku,ichimoku-spanA-futur,ichimoku-spanB-futur,ichimoku-futur,sma200,atr,stoploss_prices,kinjun_threshold,engulfing,last_candle_under_cloud,custom_sell_signal,custom_exit_signal,adx_range,is_hammer,is_bullish_engulfing,is_strong_bullish_candle,rsi,atr_strength,adx,close_sup_sma200,ichimoku-chiku-free,kinjun_flat,ichimoku-tenkan_sup_kinjun,tenkan_kinjun_increasing,kinjun_proximity,tenkan_proximity,proximity,volume_sup_avg,enter_tag_y,enter_long,timestamp,entry_type,is_loss
ETH/USDT,284.6511,284.6511,0.0881,2022-01-07 09:00:00,2022-01-07 15:50:00+00:00,3231.0,3077.055885775317,0.001,0.001,410,-0.04954877068074593,-14.11821619,stop_loss,3069.45,-0.05,3077.055885775317,-0.047645965405349044,3064.42,3275.57,0,hammer_rebond,1.0,0,1641546000000,1641570600000,"[{'amount': 0.0881, 'safe_price': 3231.0, 'ft_order_side': 'buy', 'order_filled_timestamp': 1641546000000, 'ft_is_entry': True, 'ft_order_tag': 'hammer_rebond', 'cost': 284.93575109999995}, {'amount': 0.0881, 'safe_price': 3077.055885775317, 'ft_order_side': 'sell', 'order_filled_timestamp': 1641570600000, 'ft_is_entry': False, 'ft_order_tag': 'stop_loss', 'cost': 271.3597121603422}]",0.0,2022-01-07 09:00:00,3201.75,3289.0,3188.01,3231.01,38705.0759,2.0,,15.0,15.0,15.0,2022-01-06 00:00:00+00:00,3539.82,3550.43,3300.0,3406.81,496745.7413,,,,,,2787.23,0,2022-01-07 04:00:00+00:00,3238.74,3251.42,3113.25,3202.25,182082.1687,,0,24204.554305,3265.005,3288.32,3557.71,3653.485,3231.01,3276.6625,3480.625,0,,59.935228449365,3077.055885775317,3285.03168,0,0,3600.49545689873,3764.5108454965807,0,0,0,0,32.966819911641295,1.8549997817823216,57.13266808541339,0,0,0,0,0,0.0263265132347215,0.0193736303619749,0,1,hammer_rebond,1.0,2022-01-07 09:00:00,hammer_rebond,1
BNB/USDT,494.6878,494.6878,1.102,2022-01-07 06:00:00,2022-01-08 17:55:00+00:00,448.9,434.1606480371406,0.001,0.001,2155,-0.03476677613638339,-17.2158987,stop_loss,426.455,-0.05,434.1606480371406,-0.03283437728415983,433.0,459.7,0,hammer_rebond,1.0,0,1641535200000,1641664500000,"[{'amount': 1.102, 'safe_price': 448.9, 'ft_order_side': 'buy', 'order_filled_timestamp': 1641535200000, 'ft_is_entry': True, 'ft_order_tag': 'hammer_rebond', 'cost': 495.1824878}, {'amount': 1.102, 'safe_price': 434.1606480371406, 'ft_order_side': 'sell', 'order_filled_timestamp': 1641664500000, 'ft_is_entry': False, 'ft_order_tag': 'stop_loss', 'cost': 478.9234791710659}]",0.0,2022-01-07 06:00:00,449.5,450.4,446.4,448.9,49531.98,1.0,15.0,15.0,15.0,15.0,2022-01-06 00:00:00+00:00,474.2,481.3,458.8,472.6,986669.9,,,,,,384.2,0,2022-01-07 00:00:00+00:00,472.6,473.9,453.2,453.8,199109.735,,0,46318.2038,458.2000000000001,459.8,484.725,488.5,448.9,459.0,477.15,0,,6.525503925718773,434.1606480371406,459.3402,0,0,490.2010078514375,510.7488672923319,0,0,0,0,24.95529227207058,1.4536653877742869,47.62974952205701,0,0,1,0,0,0.0237059591126577,0.0202968136185073,0,1,hammer_rebond,1.0,2022-01-07 06:00:00,hammer_rebond,1
BTC/USDT,270.5219796,270.5219796,0.00642,2022-01-07 17:00:00,2022-01-10 14:15:00+00:00,42137.38,40188.7235930557,0.001,0.001,4155,-0.04815091866998092,-13.03890772,stop_loss,40030.511,-0.05,40188.7235930557,-0.04624531489485817,40020.95,42786.7,0,hammer_rebond,1.0,0,1641574800000,1641824100000,"[{'amount': 0.00642, 'safe_price': 42137.38, 'ft_order_side': 'buy', 'order_filled_timestamp': 1641574800000, 'ft_is_entry': True, 'ft_order_tag': 'hammer_rebond', 'cost': 270.79250157959996}, {'amount': 0.00642, 'safe_price': 40188.7235930557, 'ft_order_side': 'sell', 'order_filled_timestamp': 1641824100000, 'ft_is_entry': False, 'ft_order_tag': 'stop_loss', 'cost': 258.269617072885}]",0.0,2022-01-07 17:00:00,41310.85,42315.85,40917.66,42135.26,4909.62675,15.0,15.0,15.0,15.0,15.0,2022-01-06 00:00:00+00:00,43451.14,43816.0,42430.58,43082.31,38880.37305,,,,,,38694.59,0,2022-01-07 12:00:00+00:00,42258.62,42766.17,40610.0,41319.11,13946.04637,,0,2514.0731435,41746.735,42095.65,43739.7825,44994.06,42135.26,41921.192500000005,43716.085,0,,680.1128138885961,40188.7235930557,42053.55435,0,0,45076.31062777719,46840.46553632321,0,0,0,0,46.633745597290414,1.6141179949728472,43.61378602236973,0,0,1,0,0,0.018643256488497,0.0104411758188994,0,1,hammer_rebond,1.0,2022-01-07 17:00:00,hammer_rebond,1
XRP/USDT,210.66075,210.66075,272.7,2022-01-06 00:00:00,2022-01-10 14:20:00+00:00,0.7725,0.7,0.001,0.001,6620,-0.0956616199334646,-20.17230075,stop_loss,0.7339,-0.05,0.7,-0.0939621742729504,0.6967,0.7909,0,hammer_rebond,1.0,0,1641427200000,1641824400000,"[{'amount': 272.7, 'safe_price': 0.7725, 'ft_order_side': 'buy', 'order_filled_timestamp': 1641427200000, 'ft_is_entry': True, 'ft_order_tag': 'hammer_rebond', 'cost': 210.87141074999997}, {'amount': 272.7, 'safe_price': 0.7, 'ft_order_side': 'sell', 'order_filled_timestamp': 1641824400000, 'ft_is_entry': False, 'ft_order_tag': 'stop_loss', 'cost': 191.08088999999995}]",0.0,2022-01-06 00:00:00,0.7619,0.7769,0.7569,0.7726,38969883.0,4.0,4.0,4.0,4.0,4.0,2022-01-05 00:00:00+00:00,0.8227,0.8372,0.7092,0.7726,370612510.0,,,,,,0.6174,0,2022-01-05 20:00:00+00:00,0.7982,0.8028,0.7092,0.7726,194709098.0,,0,17062002.8,0.77,0.7732000000000001,0.8214,0.8203499999999999,0.7726,0.7716000000000001,0.7774000000000001,0,,0.0157347592517084,0.6999142203741457,0.7724268000000001,0,0,0.8088695185034169,0.854433319047661,0,0,0,0,24.48698296888761,2.036598401722553,49.28262057404078,0,0,1,0,0,0.0146145887221935,0.0105194805194805,0,1,hammer_rebond,1.0,2022-01-06 00:00:00,hammer_rebond,1
BNB/USDT,462.7032,462.7032,1.112,2022-01-10 16:00:00,2022-01-11 07:10:00+00:00,416.1,437.3,0.001,0.001,910,0.04884949225252037,22.6254192,take_profit_1.5R,395.295,-0.05,402.9675650431044,-0.031560766539042606,411.6,437.5,0,hammer_rebond,1.0,0,1641830400000,1641885000000,"[{'amount': 1.112, 'safe_price': 416.1, 'ft_order_side': 'buy', 'order_filled_timestamp': 1641830400000, 'ft_is_entry': True, 'ft_order_tag': 'hammer_rebond', 'cost': 463.16590320000006}, {'amount': 1.112, 'safe_price': 437.3, 'ft_order_side': 'sell', 'order_filled_timestamp': 1641885000000, 'ft_is_entry': False, 'ft_order_tag': 'take_profit_1.5R', 'cost': 486.7638776}]",0.0,2022-01-10 16:00:00,419.1,419.8,405.6,416.1,132705.664,15.0,15.0,15.0,15.0,15.0,2022-01-09 00:00:00+00:00,429.8,444.5,427.0,438.7,688777.347,,474.45,,,,399.5,0,2022-01-10 12:00:00+00:00,433.8,434.3,405.6,416.1,529526.282,,0,45847.10115,424.5,425.55,434.525,437.35,416.1,425.025,431.35,0,478.218,6.0376699137912215,402.9675650431044,425.12445,0,0,443.4253398275825,458.9989918434912,0,1,0,0,24.731993517375507,1.4510141585655425,24.599587819478472,0,0,0,0,0,0.0222065562213605,0.0197879858657243,0,1,hammer_rebond,1.0,2022-01-10 16:00:00,hammer_rebond,0
LTC/USDT,463.0155,463.0155,3.719,2022-01-10 16:00:00,2022-01-11 16:40:00+00:00,124.5,132.2,0.001,0.001,1480,0.05972581635232238,27.6816327,take_profit_1.5R,118.27499999999999,-0.05,119.59197538474899,-0.03942188445984751,122.6,133.0,0,hammer_rebond,1.0,0,1641830400000,1641919200000,"[{'amount': 3.719, 'safe_price': 124.5, 'ft_order_side': 'buy', 'order_filled_timestamp': 1641830400000, 'ft_is_entry': True, 'ft_order_tag': 'hammer_rebond', 'cost': 463.4785154999999}, {'amount': 3.719, 'safe_price': 132.2, 'ft_order_side': 'sell', 'order_filled_timestamp': 1641919200000, 'ft_is_entry': False, 'ft_order_tag': 'take_profit_1.5R', 'cost': 492.14345179999987}]",0.0,2022-01-10 16:00:00,124.8,125.2,122.9,124.5,50306.702,15.0,15.0,15.0,1.0,15.0,2022-01-09 00:00:00+00:00,129.4,132.6,127.7,130.9,321828.343,,139.1,,,,121.3,0,2022-01-10 12:00:00+00:00,129.4,129.5,120.7,124.5,268503.95803,,0,22497.2140015,125.85,126.65,129.82500000000002,130.1,124.5,126.25,127.75,0,139.27100000000013,1.7332492305020382,119.591975384749,126.52335,0,0,131.21649846100408,136.19826508731867,0,0,0,0,24.593072140343743,1.392168056628143,29.65634808143754,0,0,1,0,0,0.0169759178839321,0.0107270560190702,0,1,hammer_rebond,1.0,2022-01-10 16:00:00,hammer_rebond,0
LTC/USDT,487.902,487.902,3.49,2022-01-18 15:00:00,2022-01-19 03:40:00+00:00,139.8,136.98271684935816,0.001,0.001,760,-0.022109977777550364,-10.79828988,stop_loss,132.81,-0.05,136.98271684935816,-0.020152239990285037,136.7,143.9,0,hammer_rebond,1.0,0,1642518000000,1642563600000,"[{'amount': 3.49, 'safe_price': 139.8, 'ft_order_side': 'buy', 'order_filled_timestamp': 1642518000000, 'ft_is_entry': True, 'ft_order_tag': 'hammer_rebond', 'cost': 488.389902}, {'amount': 3.49, 'safe_price': 136.98271684935816, 'ft_order_side': 'sell', 'order_filled_timestamp': 1642563600000, 'ft_is_entry': False, 'ft_order_tag': 'stop_loss', 'cost': 478.54775148606416}]",0.0,2022-01-18 15:00:00,140.5,140.8,138.7,139.8,28648.342,1.0,15.0,15.0,15.0,15.0,2022-01-17 00:00:00+00:00,146.4,153.9,144.1,151.2,809014.895,,137.3,,,,126.7,0,2022-01-18 08:00:00+00:00,146.0,146.2,140.3,142.0,138535.908,,0,31405.436200000004,143.5,146.25,148.8,148.05,139.8,144.875,146.25,0,140.22750000000008,2.680166301283685,136.98271684935816,146.10375,0,0,151.61033260256738,159.87397239152753,0,0,0,0,32.223645967209194,1.9171432770269563,24.205820365663268,0,0,1,0,0,0.044102564102564,0.0257839721254354,0,0,hammer_rebond,1.0,2022-01-18 15:00:00,hammer_rebond,1
ETH/USDT,423.30897,423.30897,0.1358,2022-01-19 12:00:00,2022-01-21 00:00:00+00:00,3117.15,2975.0651803036126,0.001,0.001,2160,-0.04748857318331573,-20.12244134,stop_loss,2961.2925,-0.05,2975.0651803036126,-0.045581643391042315,2972.7,3273.37,0,hammer_rebond,1.0,0,1642593600000,1642723200000,"[{'amount': 0.1358, 'safe_price': 3117.15, 'ft_order_side': 'buy', 'order_filled_timestamp': 1642593600000, 'ft_is_entry': True, 'ft_order_tag': 'hammer_rebond', 'cost': 423.73227897}, {'amount': 0.1358, 'safe_price': 2975.0651803036126, 'ft_order_side': 'sell', 'order_filled_timestamp': 1642723200000, 'ft_is_entry': False, 'ft_order_tag': 'stop_loss', 'cost': 404.41786533671575}]",0.0,2022-01-19 12:00:00,3078.34,3130.33,3076.0,3117.28,26200.8809,15.0,15.0,,13.0,15.0,2022-01-18 00:00:00+00:00,3209.68,3243.87,3082.0,3159.85,299134.2728,,3170.13,,,,2871.13,0,2022-01-19 08:00:00+00:00,3062.0,3130.33,3000.0,3117.28,78622.6128,,0,14025.444759999998,3079.41,3096.5,3195.5875,3260.995,3117.28,3087.955,3140.85,0,3258.7103500000007,37.869639392774445,2975.0651803036126,3093.4035,0,0,3216.5892787855487,3332.992289038016,0,0,0,0,47.28920058734986,1.2148295755522265,38.69481437077163,0,0,1,0,0,0.0058646859357338,0.0003474691580529,1,1,hammer_rebond,1.0,2022-01-19 12:00:00,hammer_rebond,1
XRP/USDT,5.52052,5.52052,7.9,2022-01-21 02:00:00,2022-01-21 02:05:00+00:00,0.6988,0.7056,0.001,0.001,5,0.007713522882383788,0.04262524,take_profit_1.5R,0.6639,-0.05,0.6639,-0.05,0.697,0.7082,0,hammer_rebond,1.0,0,1642730400000,1642730700000,"[{'amount': 7.9, 'safe_price': 0.6988, 'ft_order_side': 'buy', 'order_filled_timestamp': 1642730400000, 'ft_is_entry': True, 'ft_order_tag': 'hammer_rebond', 'cost': 5.52604052}, {'amount': 7.9, 'safe_price': 0.7056, 'ft_order_side': 'sell', 'order_filled_timestamp': 1642730700000, 'ft_is_entry': False, 'ft_order_tag': 'take_profit_1.5R', 'cost': 5.57981424}]",0.0,2022-01-21 02:00:00,0.726,0.7265,0.6961,0.6988,26699995.0,3.0,4.0,4.0,4.0,4.0,2022-01-20 00:00:00+00:00,0.7381,0.7622,0.7161,0.7199,205931050.0,,0.7660499999999999,,,,0.8515,0,2022-01-20 20:00:00+00:00,0.7578,0.7591,0.7161,0.7199,71382360.0,,0,10738791.25,0.72835,0.72915,0.740775,0.7458499999999999,0.6988,0.72875,0.72915,0,0.7646535000000011,0.0101374306835147,0.7046090846582426,0.72842085,0,0,0.7494248613670295,0.7795438575266178,0,0,0,0,24.990316039600486,1.4506912827010194,33.26495072639584,0,0,0,0,0,0.0416238085441952,0.0405711539781699,0,1,hammer_rebond,1.0,2022-01-21 02:00:00,hammer_rebond,0
XRP/USDT,472.6338,472.6338,697.1,2022-01-21 14:00:00,2022-01-21 21:30:00+00:00,0.678,0.6528,0.001,0.001,450,-0.03909188156975768,-18.49462068,stop_loss,0.6441,-0.05,0.6528,-0.037214272413342186,0.6456,0.6866,0,hammer_rebond,1.0,0,1642773600000,1642800600000,"[{'amount': 697.1, 'safe_price': 0.678, 'ft_order_side': 'buy', 'order_filled_timestamp': 1642773600000, 'ft_is_entry': True, 'ft_order_tag': 'hammer_rebond', 'cost': 473.1064338}, {'amount': 697.1, 'safe_price': 0.6528, 'ft_order_side': 'sell', 'order_filled_timestamp': 1642800600000, 'ft_is_entry': False, 'ft_order_tag': 'stop_loss', 'cost': 455.52194688}]",0.0,2022-01-21 14:00:00,0.6758,0.6825,0.6707,0.6779,20220366.0,4.0,4.0,4.0,4.0,4.0,2022-01-20 00:00:00+00:00,0.7381,0.7622,0.7161,0.7199,205931050.0,,0.7660499999999999,,,,0.8515,0,2022-01-21 08:00:00+00:00,0.695,0.6975,0.6844,0.6874,39256771.0,,0,19077299.4,0.6795500000000001,0.7110000000000001,0.740875,0.74135,0.6779,0.6952750000000001,0.7110000000000001,0,0.758458500000001,0.0114233533924921,0.652768723303754,0.7102890000000001,0,0,0.7338467067849843,0.7679719028826499,0,0,0,0,29.546403077393347,1.6851089235126286,51.26356483875629,0,0,1,0,0,0.0495077355836851,0.0055183577367377,0,1,hammer_rebond,1.0,2022-01-21 14:00:00,hammer_rebond,1
