feature,importance
rsi_x_tenkan_proximity,0.05504721549332189
kinjun_proximity_x_tenkan_proximity,0.054512055215426
rsi_x_kinjun_proximity,0.044906766644667806
rsi_x_atr_strength,0.043556752220637984
rsi_x_adx,0.04270332365193662
atr_strength_x_adx,0.040509839629453995
adx_x_tenkan_proximity,0.0393971299235252
atr_strength_x_tenkan_proximity,0.03458940851925553
atr_strength_x_kinjun_proximity,0.03265967664725209
atr_strength_x_kinjun_flat,0.03172992755808162
adx_x_volume_sup_avg,0.030646264811181788
adx_x_kinjun_proximity,0.028154810532167045
tenkan_proximity_x_volume_sup_avg,0.026530004103905776
rsi_x_kinjun_flat,0.02645075419045749
kinjun_flat_x_tenkan_proximity,0.024399276360769086
rsi_squared,0.02403218821231233
kinjun_proximity,0.0217006478222691
close_sup_sma200_x_kinjun_proximity,0.021673194370918594
kinjun_proximity_squared,0.02128629549682074
atr_strength_x_volume_sup_avg,0.02073289508629588
rsi_x_volume_sup_avg,0.0195200425434663
adx,0.01903256838504294
tenkan_proximity,0.018853417632265404
kinjun_proximity_x_volume_sup_avg,0.018392106984797034
adx_squared,0.015532585251523706
adx_x_kinjun_flat,0.015288641887603505
rsi,0.014971537758906375
atr_strength,0.01413502831947923
ichimoku-chiku-free_x_tenkan_proximity,0.013673056386320711
tenkan_proximity_squared,0.012786201058257906
adx_x_proximity,0.012130231624487587
atr_strength_squared,0.011836813818484095
kinjun_flat_x_kinjun_proximity,0.011402831125246676
atr_strength_x_tenkan_kinjun_increasing,0.010953804239828542
tenkan_kinjun_increasing_x_tenkan_proximity,0.010950156035944026
rsi_x_proximity,0.010420591112090198
adx_x_ichimoku-tenkan_sup_kinjun,0.009237018956938048
rsi_x_close_sup_sma200,0.008977094324867565
ichimoku-tenkan_sup_kinjun_x_tenkan_proximity,0.008429670926215587
close_sup_sma200_x_tenkan_proximity,0.007559287366665127
atr_strength_x_proximity,0.006981089870077941
adx_x_close_sup_sma200,0.006881257960865055
ichimoku-tenkan_sup_kinjun_x_kinjun_proximity,0.006295653718024883
kinjun_proximity_x_proximity,0.005891623875125158
rsi_x_ichimoku-tenkan_sup_kinjun,0.005664796583951788
adx_x_tenkan_kinjun_increasing,0.0051086664252688796
atr_strength_x_ichimoku-tenkan_sup_kinjun,0.004982034565433747
close_sup_sma200_x_proximity,0.004359974973499399
tenkan_proximity_x_proximity,0.00337675784512479
rsi_x_tenkan_kinjun_increasing,0.0033453372892864987
atr_strength_x_close_sup_sma200,0.0031194882454049096
kinjun_flat_x_volume_sup_avg,0.0022792819674750716
ichimoku-chiku-free_x_kinjun_proximity,0.001391836880126158
ichimoku-tenkan_sup_kinjun_x_volume_sup_avg,0.0013783447437820937
proximity_x_volume_sup_avg,0.0010063912056802137
tenkan_kinjun_increasing_x_kinjun_proximity,0.0009681615484288838
ichimoku-tenkan_sup_kinjun_x_tenkan_kinjun_increasing,0.0008072156185042592
close_sup_sma200_x_kinjun_flat,0.0006297291391434824
ichimoku-chiku-free_x_ichimoku-tenkan_sup_kinjun,0.0006168918644588043
adx_x_ichimoku-chiku-free,0.0005697438453220462
atr_strength_x_ichimoku-chiku-free,0.0005667161415834457
close_sup_sma200_x_volume_sup_avg,0.000516628021783384
ichimoku-tenkan_sup_kinjun_x_proximity,0.000494081288354746
ichimoku-chiku-free_x_tenkan_kinjun_increasing,0.00047580087678514196
tenkan_kinjun_increasing,0.0004579806491596412
ichimoku-tenkan_sup_kinjun,0.000457512802723547
tenkan_kinjun_increasing_x_volume_sup_avg,0.00033964343702795336
ichimoku-chiku-free,0.00030482622886512977
kinjun_flat_squared,0.0002520633306220026
close_sup_sma200_squared,0.00023768619417931691
rsi_x_ichimoku-chiku-free,0.00016163441893262456
ichimoku-chiku-free_x_proximity,0.00012919923150562227
close_sup_sma200_x_ichimoku-tenkan_sup_kinjun,9.865883085491205e-05
close_sup_sma200_x_ichimoku-chiku-free,8.725030073888336e-05
ichimoku-chiku-free_x_volume_sup_avg,7.230577264106508e-05
ichimoku-chiku-free_x_kinjun_flat,6.397837730496485e-05
ichimoku-chiku-free_squared,5.8891222195716296e-05
kinjun_flat_x_proximity,5.578038201799404e-05
volume_sup_avg,4.9625306870714996e-05
proximity,4.022659349112772e-05
kinjun_flat,2.8677093128880753e-05
kinjun_flat_x_tenkan_kinjun_increasing,2.6597706500296216e-05
tenkan_kinjun_increasing_x_proximity,1.7126833419531062e-05
proximity_squared,1.466755959707884e-05
volume_sup_avg_squared,1.2316930064022278e-05
ichimoku-tenkan_sup_kinjun_squared,1.1709712650433827e-05
kinjun_flat_x_ichimoku-tenkan_sup_kinjun,6.375301341629381e-06
tenkan_kinjun_increasing_squared,2.98981349881533e-06
close_sup_sma200_x_tenkan_kinjun_increasing,2.246985383897528e-06
close_sup_sma200,1.4122627063691918e-06
